"created_at","retweet_count","is_quote","reply_to_screen_name","source","favourites_count","followers_count","friends_count","listed_count","statuses_count","verified","popular"
2018-05-28 11:13:16,0,FALSE,,"Twitter Web Client",263,1269,53,15,334,FALSE,FALSE
2018-05-28 10:50:34,0,FALSE,,"Twitter Web Client",4273,341,145,4,3625,FALSE,FALSE
2018-05-28 10:27:12,4,FALSE,,"Twitter for iPhone",6503,40312,104,80,4273,TRUE,TRUE
2018-05-28 09:02:54,0,FALSE,,"Twitter for Android",2321,526,249,8,16274,FALSE,FALSE
2018-05-28 10:24:53,1,FALSE,,"Twitter Web Client",268,260,383,6,3097,FALSE,TRUE
2018-05-28 11:24:35,1,FALSE,,"Twitter Web Client",6794,3113,812,46,70970,FALSE,TRUE
2018-05-28 10:32:37,0,FALSE,"VideojuegosGAME","Twitter for Android",10427,96,106,1,9146,FALSE,FALSE
2018-05-28 11:01:42,0,FALSE,,"Mobile Web (M2)",1369,251,122,6,20243,FALSE,FALSE
2018-05-28 11:11:00,0,FALSE,"FranklinUrquidi","Twitter for Android",12,12,45,0,44,FALSE,FALSE
2018-05-28 09:45:06,0,FALSE,,"Google",1361,91,89,0,2911,FALSE,FALSE
2018-05-28 11:29:24,0,FALSE,,"Twitter for iPhone",13,644,615,0,19755,FALSE,FALSE
2018-05-28 10:35:26,0,FALSE,,"Twitter for Android",2539,151,324,2,3084,FALSE,FALSE
2018-05-28 10:37:25,0,FALSE,,"Twitter Web Client",1251,108,585,0,1875,FALSE,FALSE
2018-05-28 10:17:24,0,FALSE,"ActualidadRT","Twitter for Android",15,2,22,0,789,FALSE,FALSE
2018-05-28 10:11:28,0,FALSE,,"Google",30,49,18,0,633,FALSE,FALSE
2018-05-28 09:37:03,0,TRUE,,"Twitter Web Client",1464,71,418,2,3977,FALSE,FALSE
2018-05-28 11:07:43,0,FALSE,,"Twitter Web Client",8287,75,696,1,9258,FALSE,FALSE
2018-05-28 09:37:16,0,FALSE,"Fifa_La_Rioja","Twitter for Android",5087,3053,70,22,16277,FALSE,FALSE
2018-05-28 09:49:27,0,FALSE,"KevinSerrano83","Twitter for Android",175,85,143,0,205,FALSE,FALSE
2018-05-28 11:01:06,0,FALSE,"JaviBeniPani","Twitter for iPhone",1564,604,485,3,3862,FALSE,FALSE
2018-05-28 10:36:12,0,FALSE,,"IFTTT",3,58,137,4,67692,FALSE,FALSE
2018-05-28 10:17:42,0,FALSE,"MyBeteNoire","Twitter for Android",2051,94,234,1,8592,FALSE,FALSE
2018-05-28 10:53:59,1,FALSE,,"dlvr.it",4496,85814,84563,527,15451,TRUE,TRUE
2018-05-28 11:25:58,0,FALSE,,"Twitter for Android",5551,493,790,2,4457,FALSE,FALSE
2018-05-28 10:48:06,0,FALSE,"TheMetroSouls","Twitter Lite",2449,886,2130,2,5004,FALSE,FALSE
2018-05-28 09:30:00,1,FALSE,,"TweetDeck",1412,15051,9499,835,21887,FALSE,TRUE
2018-05-28 10:15:05,1,FALSE,,"Twitter for Android",16409,1248,24,5,13958,FALSE,TRUE
2018-05-28 10:02:57,0,FALSE,,"Twitter for Android",31364,1091,995,8,63920,FALSE,FALSE
2018-05-28 10:24:27,0,FALSE,"eltajalapiz","Twitter for iPhone",29905,594,234,7,25136,FALSE,FALSE
